POLICY_NO,CUST_ID,POLICYTYPE,POL_ISSUE_DATE,POL_EFF_DATE,POL_EXPIRY_DATE,MAKE,MODEL,MODEL_YEAR,CHASSIS_NO,USE_OF_VEHICLE,PRODUCT,SUM_INSURED,PREMIUM,DEDUCTABLE
102131068,5173.0,COMP,2019-05-30,2019-05-30,2020-06-29,HAVAL,H6,2020.0,LGWEF6A57LH900392,PRIVATE,M 2.5,75000.0,2040.0,1000
102131730,7064.0,COMP,2019-06-23,2019-07-25,2020-08-24,AUDI,Q 7,2014.0,WA1AGDFE2ED010131,PRIVATE,M 2.5,81920.0,2130.0,1000
102131861,5173.0,COMP,2019-06-26,2019-06-26,2020-07-25,KIA,SPORTAGE,2020.0,U5YPH8140LL724980,PRIVATE,M 2019,99875.0,1990.75,500
102133499,7852.0,COMP,2019-07-29,2019-07-29,2020-08-28,TOYOTA,COROLLA,2012.0,RKLBC42E4C4586475,PRIVATE,M 2019,18000.0,1290.0,500
102135276,7957.0,COMP,2019-09-12,2019-09-20,2020-10-19,TOYOTA,LAND CRUISER,2013.0,JTEJU9FJ8DK060658,PRIVATE,M 2019,80000.0,1790.0,1000
102135425,5160.0,COMP,2019-09-16,2019-09-16,2020-10-15,NISSAN,PATROL,2017.0,JN8BY2NY7H9001458,PRIVATE,M 2019,130000.0,2590.0,2000
102136680,8633.0,COMP,2019-10-20,2019-10-20,2020-11-19,TOYOTA,FORTUNER,2015.0,MHFYU59G7F7043775,PRIVATE,M 2.5,45015.0,1565.0,2000
102136804,2879.0,COMP,2019-10-21,2019-11-07,2020-12-06,TOYOTA,PRADO,2009.0,JTEBU25J895153487,PRIVATE,NOT CLASSIFIED,39000.0,1590.0,500
102137193,5495.0,COMP,2019-10-31,2019-10-31,2020-11-29,AUDI,Q 8,2019.0,WA1ZZZF1XKD005732,PRIVATE,M 2.25,304000.0,6814.0,1000
102137245,7134.0,COMP,2019-11-03,2019-11-03,2020-12-02,KIA,SPORTAGE,2019.0,U5YPH8141KL523507,PRIVATE,M 2019,70000.0,1790.0,500
102138208,7134.0,COMP,2019-11-27,2019-11-27,2020-12-26,MG,RX8,2020.0,LSJW84W93LG013092,PRIVATE,M 2019,99750.0,1990.0,500
102138540,12714.0,COMP,2019-12-10,2019-12-10,2021-01-09,MG,RX8,2020.0,LSJW84W95LG013076,PRIVATE,M 2019,99750.0,2535.0,500
102140986,7848.0,COMP,2020-02-06,2020-02-06,2021-03-05,PEUGEOT,EXPERT,2018.0,VF3VEAHX8JZ001835,COMMERCIAL,M 2019,80850.0,2325.0,1000
102141569,6079.0,COMP,2020-02-19,2020-03-19,2021-04-18,MITSUBISHI,L300,2011.0,JMYHNP13WBA702511,COMMERCIAL,NOT CLASSIFIED,11744.0,1705.0,500
102141835,7980.0,COMP,2020-02-25,2020-02-25,2021-03-24,HONDA,UNICORN,2017.0,ME4KC2064H8005218,PRIVATE,STANDARD,5587.0,1325.0,2000
102142508,7134.0,COMP,2020-03-10,2020-03-10,2021-04-09,BMW,730 I,2019.0,WBA7E0A02KB359448,PRIVATE,M 2019,249999.0,4490.0,2000
102142811,903.0,COMP,2020-03-17,2020-03-17,2021-04-16,NISSAN,KICKS,2020.0,3N1CP5C96LL496688,PRIVATE,M 2019,55650.0,1940.0,2000
102143159,7848.0,COMP,2020-03-23,2020-04-06,2021-05-05,PEUGEOT,2008,2018.0,VF3CUNFP0JY002861,PRIVATE,STANDARD,58900.0,1790.0,500
102143252,12714.0,COMP,2020-03-25,2020-03-25,2021-04-24,MG,RX5,2020.0,LSJA24W93LS018804,PRIVATE,M 2019,98437.0,2888.0,500
102145593,7957.0,COMP,2020-06-01,2020-06-01,2021-06-30,GMC,TERRAIN,2019.0,3GKAL8EXXKL237248,PRIVATE,M 2019,86870.0,1945.0,500
102146087,12192.0,COMP,2020-06-14,2020-06-14,2021-07-13,NISSAN,SUNNY,2013.0,MDHBN7AD9DG023021,PRIVATE,NOT CLASSIFIED,14000.0,900.0,500
102146909,3202.0,COMP,2020-07-02,2020-07-02,2021-08-01,PEUGEOT,3008,2020.0,VF3M45GYXLS048439,PRIVATE,M 2019,108635.0,2789.35,500
102148994,7848.0,COMP,2020-08-26,2020-08-26,2021-09-25,PEUGEOT,3008,2020.0,VF3M45GY2LS010896,PRIVATE,M 2019,111250.0,1993.0,500
102149994,7848.0,COMP,2020-09-21,2020-10-24,2021-11-23,PEUGEOT,5008,2019.0,VF3M45GY5KL002073,PRIVATE,M 2019,85600.0,1790.0,500
101618750,7463.0,TP,2020-09-24,2020-09-27,2021-10-26,YAMAHA,YBR 125 E,2018.0,LBPKE1297J0169837,PRIVATE,TP,5000.0,870.0,1000
102151579,5568.0,COMP,2020-11-01,2020-11-01,2021-11-30,HONDA,UNICORN,2017.0,ME4KC2065H8000979,PRIVATE,STANDARD,3072.0,1160.0,1000
102152402,12515.0,COMP,2020-11-25,2020-11-25,2021-12-24,AUDI,Q 7,2016.0,WA1AGDF77GD001705,PRIVATE,M 2.25,117500.0,1870.0,500
102152490,14039.0,COMP,2020-11-26,2020-11-26,2021-12-25,RANGE ROVER,VELAR,2018.0,SALYA2BV0JA740995,PRIVATE,M 2019,140000.0,3745.0,1000
102070558,5495.0,COMP,2015-12-31,2015-12-31,2017-01-30,VOLKSWAGEN,GOLF,2016.0,WVWDT2AU8GW094173,PRIVATE,M 2.5,97000.0,3493.0,500
102070648,5495.0,COMP,2016-01-03,2016-01-03,2017-02-02,AUDI,S 6,2016.0,WAUB2CFCXGN006369,PRIVATE,M 2.25,250000.0,6270.0,1000
102070686,2021.0,COMP,2016-01-03,2016-01-06,2017-02-05,GREAT WALL,WINGLE,2014.0,LGWCA2177EB626715,COMMERCIAL,STANDARD,25000.0,1190.0,500
102072712,4404.0,COMP,2016-01-26,2016-03-05,2017-03-04,TOYOTA,LAND CRUISER,2013.0,JTMHU09JXD4065004,PRIVATE,NOT CLASSIFIED,110500.0,3419.0,500
102073780,8045.0,COMP,2016-02-06,2016-02-06,2017-03-05,HONDA,CIVIC,2007.0,JHMFD16307S413328,PRIVATE,STANDARD,15000.0,1140.0,2000
102074450,8045.0,COMP,2016-02-13,2016-02-13,2017-03-12,TOYOTA,YARIS,2013.0,JTDKW9D32DD535281,PRIVATE,STANDARD,30000.0,1450.0,500
102077989,9691.0,COMP,2016-03-24,2016-03-24,2017-04-23,TOYOTA,COROLLA,2011.0,RKLBV42E4B4404024,PRIVATE,STANDARD,28000.0,1140.0,500
102078007,807.0,COMP,2016-03-24,2016-03-24,2017-04-23,HYUNDAI,ELANTRA,2013.0,KMHDG41E9DU797700,PRIVATE,STANDARD,32500.0,1217.0,500
102078426,807.0,COMP,2016-03-30,2016-03-30,2017-04-29,FORD,EXPLORER,2007.0,1FMEU74E87UA85922,PRIVATE,STANDARD,20000.0,1300.0,1000
102078705,807.0,COMP,2016-04-03,2016-04-03,2017-05-02,NISSAN,ALTIMA,2008.0,1N4AL21D18C208462,PRIVATE,STANDARD,25000.0,1140.0,2000
102056640/1,3703.0,COMP,2016-04-04,2015-07-26,2016-08-25,TOYOTA,HIACE,2014.0,JTFHX02P6E5002989,COMMERCIAL,NOT CLASSIFIED,69064.0,-2425.0,2000
102078871,3304.0,COMP,2016-04-05,2016-04-05,2017-05-04,KIA,SPORTAGE,2016.0,U5YPK81C2GL019953,PRIVATE,M 2.5,115000.0,2928.0,1000
102078884,5495.0,COMP,2016-04-05,2016-04-05,2017-05-04,HYUNDAI,ELANTRA,2012.0,KMHDG41EXCU219524,PRIVATE,STANDARD,26000.0,2000.0,500
102078930,816.0,COMP,2016-04-06,2016-04-06,2017-05-05,KIA,CARNIVAL,2013.0,KNAMG8171D6521266,PRIVATE,STANDARD,43200.0,1596.0,1000
102083057,8045.0,COMP,2016-05-27,2016-05-27,2017-06-26,NISSAN,TIIDA,2013.0,3N1BC1C63DK203570,PRIVATE,STANDARD,17000.0,1090.0,1000
102083480,5568.0,COMP,2016-06-01,2016-06-01,2017-06-30,MASERATI,GHIBLI,2015.0,ZAMSS57F8F1148258,PRIVATE,M 2.25,258500.0,6336.0,1000
102083817,4215.0,COMP,2016-06-06,2016-06-06,2017-07-05,TOYOTA,LAND CRUISER,2008.0,JTEAL29J880005070,PRIVATE,STANDARD,35000.0,1285.0,500
102084250,6149.0,COMP,2016-06-12,2016-06-12,2017-07-11,MITSUBISHI,LANCER EX,2015.0,JMYSTCY4AFU742420,PRIVATE,STANDARD,54900.0,1840.0,500
102084658,5495.0,COMP,2016-06-15,2016-06-15,2017-07-14,VOLKSWAGEN,TOUAREG,2016.0,WVGBC2BP0GD009396,PRIVATE,M 2.5,189620.0,5000.0,2000
102084682,8045.0,COMP,2016-06-15,2016-06-15,2017-07-14,FORD,EXPLORER,2015.0,1FM5K8F83FGA37468,PRIVATE,M 2.5,108000.0,2480.0,1000
102049050,6668.0,COMP,2015-01-07,2015-02-13,2016-02-12,TOYOTA,YARIS,2010.0,JTDBW9233A4046144,PRIVATE,NOT CLASSIFIED,24000.0,1590.0,500
102050176,4956.0,COMP,2015-02-25,2015-04-01,2016-03-31,NISSAN,TIIDA,2008.0,JN1CC11C88T012008,PRIVATE,NOT CLASSIFIED,15000.0,1010.0,500
102051322,5913.0,COMP,2015-04-06,2015-04-20,2016-04-19,NISSAN,ALTIMA,2006.0,1N4AL11D16C194294,PRIVATE,NOT CLASSIFIED,17600.0,1090.0,2000
102051648,5913.0,COMP,2015-04-15,2015-05-21,2016-05-20,HONDA,CIVIC LXI,2009.0,JHMFD16289S411966,PRIVATE,NOT CLASSIFIED,24320.0,1090.0,2000
102052019,4267.0,COMP,2015-04-23,2015-04-27,2016-05-26,NISSAN,ALTIMA,2012.0,1N4AL2A97CC120827,PRIVATE,STANDARD,58000.0,2036.0,2000
102053513,8045.0,COMP,2015-05-23,2015-05-23,2016-06-22,HONDA,CIVIC,2008.0,JHMFD16238S405815,PRIVATE,STANDARD,25000.0,1090.0,500
102053959,3046.0,COMP,2015-05-31,2015-06-22,2016-06-21,MITSUBISHI,CANTER SINGLE CABIN,2004.0,JL7BCE1K04K011672,COMMERCIAL,NOT CLASSIFIED,17000.0,1680.0,2000
102055356,8045.0,COMP,2015-06-20,2015-06-20,2016-07-19,NISSAN,ALTIMA,2008.0,1N4AL21D48C241911,PRIVATE,STANDARD,25000.0,1090.0,2000
102056226,903.0,COMP,2015-07-02,2015-07-17,2016-07-16,NISSAN,STD,2014.0,3N6DD23S0EK067189,COMMERCIAL,NOT CLASSIFIED,44400.0,1602.0,2000
102058457,8045.0,COMP,2015-08-03,2015-08-03,2016-09-02,TOYOTA,CAMRY,2008.0,6T1BE42K18X517472,PRIVATE,STANDARD,25000.0,1090.0,1000
102059781,8045.0,COMP,2015-08-22,2015-08-22,2016-09-21,HYUNDAI,TUCSON,2015.0,KMHJT81E3FU928144,PRIVATE,M 2.5,66000.0,1790.0,500
102060273,8768.0,COMP,2015-08-30,2015-08-30,2016-09-29,FOTON,VIEW MINI BUS,2015.0,LVCB2NVA5FS050373..,COMMERCIAL,STANDARD,80000.0,2880.0,500
102060678,8825.0,COMP,2015-09-03,2015-09-03,2016-10-02,JAGUAR,XF,2014.0,SAJAA05N7EPU32719,PRIVATE,M 2.5,135000.0,3328.0,500
102061033,8045.0,COMP,2015-09-08,2015-09-08,2016-10-07,NISSAN,INFINITI FX35,2008.0,JN8AS05Y78X017575,PRIVATE,STANDARD,35000.0,1235.0,2000
102061890,6656.0,COMP,2015-09-20,2015-09-21,2016-10-20,TOYOTA,LAND CRUISER,2009.0,JTMHU09J294014278,PRIVATE,STANDARD,80000.0,2830.0,2000
102062279,6253.0,COMP,2015-09-28,2015-10-17,2016-10-16,NISSAN,URVAN VAN,2010.0,JN6AE52S4AX114722,COMMERCIAL,NOT CLASSIFIED,27000.0,1180.0,2000
102062870,8045.0,COMP,2015-10-04,2015-10-04,2016-11-03,TOYOTA,YARIS,2013.0,JTDKW9D38DD535768,PRIVATE,STANDARD,26000.0,1090.0,500
102064487,6656.0,COMP,2015-10-22,2015-10-22,2016-11-21,TOYOTA,CAMRY,2006.0,6T1BE32K46X560162,PRIVATE,STANDARD,16000.0,1040.0,500
102064939,8831.0,COMP,2015-10-28,2015-10-28,2016-11-27,DAIHATSU,MATERIA,2008.0,JD1GM402X81009970,PRIVATE,STANDARD,18000.0,1020.0,2000
102070143,8045.0,COMP,2015-12-27,2015-12-27,2017-01-26,DODGE,CALIBER,2009.0,1B3HBG8A99D151235,PRIVATE,STANDARD,30000.0,1240.0,1000
102086134,9346.0,COMP,2016-07-03,2016-07-05,2017-08-04,MAZDA,CX 9,2015.0,JM7TB1MA2F0428392,PRIVATE,M 2.5,98400.0,2794.0,1000
102087246,5568.0,COMP,2016-07-19,2016-07-19,2017-08-18,TOYOTA,RAV 4,2010.0,JTMBD31V4A5254159,PRIVATE,STANDARD,39000.0,1393.0,2000
102087352,8825.0,COMP,2016-07-20,2016-07-20,2017-08-19,MITSUBISHI,PAJERO,2012.0,JMYLRV95WCJ709285,PRIVATE,STANDARD,32000.0,1250.0,500
102091208,7848.0,COMP,2016-09-08,2016-09-08,2017-10-07,SUBARU,WRX-STI,2017.0,JF1VA22K3HG010799,PRIVATE,M 2.5,150000.0,3425.0,1000
102091865,10234.0,COMP,2016-09-22,2016-09-22,2017-10-21,MITSUBISHI,LANCER,2013.0,JMYSTCY4ADU704908,PRIVATE,STANDARD,30000.0,1150.0,500
102092039,4215.0,COMP,2016-09-25,2016-09-25,2017-10-24,KIA,SPORTAGE,2017.0,U5YPG81A2HL082603,PRIVATE,M 2.5,72500.0,1731.0,500
102092721,2021.0,COMP,2016-10-05,2016-10-06,2017-11-05,TOYOTA,HILUX,2013.0,MR0CX12G0D0109770,COMMERCIAL,STANDARD,35000.0,1280.0,1000
102092886,5568.0,COMP,2016-10-09,2016-10-09,2017-11-08,HONDA,ACCORD,2016.0,LUCCR2624G3402468,PRIVATE,M 2.5,68000.0,2176.0,500
102092967,5495.0,COMP,2016-10-10,2016-10-10,2017-11-09,VOLKSWAGEN,GOLF,2015.0,WVWDH2AU7FW000851,PRIVATE,STANDARD,68000.0,2500.0,1000
102093195,10331.0,COMP,2016-10-12,2016-10-20,2017-11-19,BMW,535 I,2011.0,WBAFR7107BC542346,PRIVATE,STANDARD,83200.0,2586.0,500
102093216,903.0,COMP,2016-10-13,2016-10-13,2017-11-12,RENAULT,null,2012.0,VF1GFAB15CY404585,COMMERCIAL,NOT CLASSIFIED,32640.0,1230.0,2000
102094132/1,7588.0,COMP,2016-10-27,2016-10-26,2017-11-25,TOYOTA,HIACE ,2015.0,JTGSX23P8F6161875,COMMERCIAL,STANDARD,94752.0,-4001.0,500
102096262,430.0,COMP,2016-11-22,2016-11-22,2017-12-21,MITSUBISHI,LANCER,2011.0,JMYSRCY2ABU713060,PRIVATE,STANDARD,19000.0,1140.0,2000
102096285,10119.0,COMP,2016-11-22,2016-11-22,2017-12-21,TOYOTA,HIACE,2010.0,JTGX02P9A5019079,COMMERCIAL,STANDARD,30000.0,1500.0,1000
102098083,8894.0,COMP,2016-12-18,2016-12-18,2018-01-17,TOYOTA,HILUX,2013.0,MR0FX22GXD1366416,COMMERCIAL,STANDARD,46000.0,1670.0,500
102098396,2021.0,COMP,2016-12-21,2016-12-21,2018-01-20,TOYOTA,CAMRY,2013.0,6T1BF4FKXDX436309..,PRIVATE,STANDARD,39800.0,1415.0,1000
102098996,7852.0,COMP,2016-12-29,2016-12-29,2018-01-28,RENAULT,FLUENCE,2012.0,VF1LZLDT9CC258642,PRIVATE,STANDARD,24000.0,1140.0,500
102099953,807.0,COMP,2017-01-18,2017-01-18,2018-02-17,TOYOTA,LAND CRUISER,2011.0,JTMHU09J3B5054093,PRIVATE,STANDARD,100000.0,3750.0,1000
102102012,7852.0,COMP,2017-02-28,2017-02-28,2018-03-30,NISSAN,MAXIMA,2016.0,1N4AA6AP3GC395189,PRIVATE,M 2.5,108000.0,3350.0,1000
102103544,243.0,COMP,2017-04-05,2017-05-13,2018-06-12,TOYOTA,CAMRY,2007.0,6T1BE42K07X416180,PRIVATE,NOT CLASSIFIED,7864.0,1410.0,2000
102105462,6690.0,COMP,2017-05-22,2017-06-20,2018-07-19,HYUNDAI,H-1,2013.0,KMHWG81R5DU548409,COMMERCIAL,NOT CLASSIFIED,27443.0,2090.0,500
102106431,9818.0,COMP,2017-06-15,2017-06-18,2018-07-17,NISSAN,ALTIMA,2013.0,1N4AL3AP7DC163604,PRIVATE,STANDARD,44000.0,1460.0,2000
102108088,7852.0,COMP,2017-07-24,2017-07-24,2018-08-23,TOYOTA,PRADO,2010.0,JTEBX9FJ4AK006457,PRIVATE,STANDARD,37500.0,2500.0,2000
102110091,5905.0,COMP,2017-09-20,2017-10-14,2018-11-13,MITSUBISHI,CANTER SINGLE CABIN,2012.0,JL7BCE1J5CK026142,COMMERCIAL,NOT CLASSIFIED,32768.0,2375.0,500
102110434,1603.0,COMP,2017-10-02,2017-10-02,2018-11-01,RANGE ROVER,SPORT,2016.0,SALWA2VF6GA643921,PRIVATE,M 2.25,280000.0,6640.0,1000
102110715,8601.0,COMP,2017-10-10,2017-10-10,2018-11-09,TOYOTA,YARIS,2008.0,JTDBW923684019983,PRIVATE,STANDARD,9000.0,1410.0,1000
102111153,10200.0,COMP,2017-10-22,2017-10-22,2018-11-21,SUZUKI,GSX 1300 R,2015.0,JS1GX72B2F2101372,PRIVATE,STANDARD,31360.0,1840.0,2000
102111824,1002.0,COMP,2017-11-07,2017-11-07,2018-12-06,TESLA,X,2017.0,5YJXCCE21HF045642,PRIVATE,M 2.25,428663.0,9755.0,1000
102115060,251.0,COMP,2018-01-29,2018-01-29,2019-02-27,RANGE ROVER,5,2013.0,SALLSAAE4DA788311,PRIVATE,STANDARD,140000.0,4440.0,1000
102116055,4714.0,COMP,2018-02-25,2018-02-25,2019-03-24,MITSUBISHI,ASX,2013.0,4P3XTGA2WDE804051,PRIVATE,STANDARD,45000.0,1890.0,1000
102116945,4714.0,COMP,2018-03-19,2018-03-19,2019-04-18,MINI,COOPER COUPE,2013.0,WMWSY3100DT562323,PRIVATE,STANDARD,55000.0,2400.0,500
102117090,11935.0,COMP,2018-03-22,2018-03-22,2019-04-21,TOYOTA,CAMRY,2012.0,6T1BF9FK2CX379390,PRIVATE,STANDARD,36000.0,1540.0,2000
102118300,7134.0,COMP,2018-04-29,2018-04-29,2019-05-28,RENAULT,DUSTER,2015.0,VF1HSRCA8FA524777,PRIVATE,STANDARD,30000.0,1890.0,500
102119899,7848.0,COMP,2018-06-13,2018-06-13,2019-07-12,PEUGEOT,308,2018.0,VF3L35GY1JS037180,PRIVATE,M 2.5,112375.0,4286.0,1000
102120102,6771.0,COMP,2018-06-21,2018-06-21,2019-07-20,TOYOTA,HIACE ,2017.0,JTGSX22P2H6180927,COMMERCIAL,STANDARD,84800.0,3228.0,2000
102120660,8825.0,COMP,2018-07-08,2018-07-08,2019-08-07,TOYOTA,FORTUNER,2017.0,MR1KU8FS5H0013503,PRIVATE,M 2.5,80000.0,2460.0,1000
102122246,12291.0,COMP,2018-09-02,2018-09-02,2019-10-01,TOYOTA,LAND CRUISER,2016.0,JTMHU01J0G4132922,PRIVATE,STANDARD,118400.0,4380.0,500
102122270,11457.0,COMP,2018-09-02,2018-09-13,2019-10-12,LINCOLN,MK X,2014.0,2LMDJ8JK0EBL05159,PRIVATE,STANDARD,81600.0,2452.0,500
102124051,7985.0,COMP,2018-10-30,2018-10-30,2019-11-29,LAMBORGHINI,AVENTADOR,2018.0,ZHWEG4ZD3JLA07369,PRIVATE,M 2.25,1550000.0,35076.0,1000
102125296,5507.0,COMP,2018-12-18,2018-12-18,2020-01-17,TOYOTA,COROLLA,2012.0,RKLBV42E7C4435317,PRIVATE,NOT CLASSIFIED,14155.0,1460.0,500
102125510,4889.0,COMP,2018-12-26,2019-03-07,2020-04-06,LEXUS,ES 350,2010.0,JTHBJ46G1A2360478,PRIVATE,STANDARD,40000.0,1770.0,2000
102125876,7463.0,COMP,2019-01-08,2019-01-08,2020-02-07,TOYOTA,LAND CRUISER GXR,2014.0,JTMHU09J0E4094772,PRIVATE,STANDARD,80640.0,3380.0,500
102125979,8894.0,COMP,2019-01-10,2019-01-10,2020-02-09,TOYOTA,COROLLA,2013.0,RKLBC42E1D5313666,PRIVATE,NOT CLASSIFIED,28000.0,1330.0,2000
102127490,5568.0,COMP,2019-02-13,2019-02-13,2020-03-12,NISSAN,SENTRA,2016.0,MNTBB7A9XG6039607,PRIVATE,NOT CLASSIFIED,38000.0,1330.0,2000
102128331,8894.0,COMP,2019-03-05,2019-03-05,2020-04-04,CHEVROLET,IMPALA,2018.0,2G1135S38J9173023,PRIVATE,M 2019,171000.0,4173.0,500
102129499,7957.0,COMP,2019-04-08,2019-04-08,2020-05-07,TOYOTA,FJ CRUISER,2012.0,JTEBU11F4CK140451,PRIVATE,M 2019,35000.0,1890.0,1000
102130046,4386.0,COMP,2019-04-25,2019-05-16,2020-06-15,NISSAN,MURANO,2008.0,JN8AZ08W88W051410,PRIVATE,STANDARD,9216.0,1890.0,2000
102130289,7848.0,COMP,2019-05-02,2019-05-02,2020-06-01,HAVAL,H6,2019.0,LGWEF6A50KH904525,PRIVATE,M 2.5,92000.0,2393.0,1000
102132371,12807.0,COMP,2019-07-07,2019-07-07,2020-08-06,LEXUS,RX 450,2017.0,JTJBGMCA9H2026478,PRIVATE,M 2019,169600.0,4290.0,2000
102132387,7957.0,COMP,2019-07-07,2019-07-07,2020-08-06,CADILLAC,ATS,2014.0,1G6A95S3XE0109218,PRIVATE,M 2019,68261.0,1219.0,500
102132609,5173.0,COMP,2019-07-11,2019-07-11,2020-08-10,KIA,CARNIVAL,2019.0,KNAMC8127K6464357,PRIVATE,M 2019,100000.0,1765.0,1000
102133178,9008.0,COMP,2019-07-23,2019-07-23,2020-08-22,RENAULT,DUSTER,2015.0,VF1HSRCA7FA514600,PRIVATE,M 2019,30000.0,1790.0,500
102133620,8256.0,COMP,2019-07-31,2019-07-30,2020-08-29,KIA,SPORTAGE,2011.0,KNAPB8113B7016828,PRIVATE,M 2019,15000.0,1790.0,500
102135502,4714.0,COMP,2019-09-18,2019-09-18,2020-10-17,HONDA,CTX 700,2012.0,JH2RC61B1CK001966,PRIVATE,STANDARD,12000.0,1985.0,1000
102136022,5160.0,COMP,2019-10-01,2019-10-01,2020-10-31,NISSAN,SUNNY,2016.0,MDHBN7AD6GG734955,PRIVATE,M 2019,24000.0,1265.0,2000
102137298,7957.0,COMP,2019-11-04,2019-11-04,2020-12-03,LINCOLN,MK X,2018.0,2LMPJ6JRXJBL17375,PRIVATE,M 2019,144500.0,2591.0,2000
102137724,7957.0,COMP,2019-11-17,2019-12-01,2020-12-31,NISSAN,SUNNY,2013.0,MDHBN7AD3DG017067,PRIVATE,M 2019,18000.0,1160.0,1000
102138036,7848.0,COMP,2019-11-24,2019-12-08,2021-01-07,NISSAN,INFINITI QX50,2015.0,JNRBJ0HR9FM261220,PRIVATE,STANDARD,64313.0,1790.0,1000
102139269,705.0,COMP,2019-12-29,2020-03-14,2021-04-13,TOYOTA,FORTUNER,2009.0,MHFYX59GX98015118,PRIVATE,NOT CLASSIFIED,14400.0,1690.0,500
102140297,7957.0,COMP,2020-01-22,2020-02-02,2021-03-01,FORD,F-150,2012.0,1FTFX1EF7BFC98572,PRIVATE,M 2019,31200.0,1790.0,1000
102140392,3175.0,COMP,2020-01-26,2020-02-02,2021-03-01,RENAULT,DOKKER,2016.0,VF18SRB40GG546444,COMMERCIAL,STANDARD,15360.0,1290.0,2000
102140779,7957.0,COMP,2020-02-03,2020-02-03,2021-03-02,CADILLAC,CTS,2015.0,1G6A85SXXF0109467,PRIVATE,M 2019,72000.0,1286.0,1000
102142936/1,7957.0,COMP,2020-03-26,2020-03-18,2021-04-17,JEEP,GRAND CHEROKEE,2020.0,1C4RJFBGXLC156776,PRIVATE,M 2019,154000.0,-3020.0,500
102143962,3202.0,COMP,2020-04-20,2020-04-20,2021-05-19,GAC,TRUMPCHI GS5,2015.0,LMGDK1G28F1146362,PRIVATE,M 2019,23000.0,1590.0,500
102144017,1425.0,COMP,2020-04-21,2020-05-21,2021-06-20,TOYOTA,FORTUNER,2015.0,MHFYX59G8F8078388,PRIVATE,M 2.5,32800.0,1590.0,500
102144938,10937.0,COMP,2020-05-17,2020-05-21,2021-06-20,NISSAN,ALTIMA,2015.0,1N4AL3AP9FC167771,PRIVATE,M 2.5,32768.0,1030.0,500
102144940,14075.0,COMP,2020-05-17,2020-05-17,2021-06-16,MAXUS,G10,2017.0,LSKG4BC17HA063289,COMMERCIAL,STANDARD,39360.0,1515.0,500
102145617,5173.0,COMP,2020-06-02,2020-06-28,2021-07-27,CHERY,TIGGO 5,2016.0,LVTDB24BXGC000968,PRIVATE,M 2019,19000.0,1990.0,2000
101618409,14039.0,TP,2020-06-08,2020-06-08,2021-07-07,NISSAN,PATROL,2012.0,JN8AY25Y9C9037477,PRIVATE,TP,5000.0,960.0,2000
102147881,6295.0,COMP,2020-07-28,2020-07-28,2021-08-27,HYUNDAI,TUCSON,2015.0,KMHJT81E9FU955882,PRIVATE,M 2019,24000.0,1590.0,500
102148008,7957.0,COMP,2020-08-03,2020-08-03,2021-09-02,HONDA,CIVIC,2018.0,19XFC1691JE450052,PRIVATE,M 2019,55546.0,1005.0,1000
102149635,14039.0,COMP,2020-09-13,2020-09-13,2021-10-12,NISSAN,INFINITI QX80,2020.0,JNRAZ2NY5L9111860,PRIVATE,M 2019,225000.0,4275.0,500
102149782,12714.0,COMP,2020-09-15,2020-09-15,2021-10-14,MG,360,2018.0,LSJA16E39JG012078,PRIVATE,M 2019,29000.0,1030.0,500
102152143,4267.0,COMP,2020-11-17,2020-11-17,2021-12-16,RENAULT,DUSTER,2016.0,VF1HSRCH1GA556890,PRIVATE,STANDARD,21113.0,1690.0,2000
102070957,7492.0,COMP,2016-01-06,2016-01-06,2017-02-05,FOTON,VIEW,2014.0,LVAEC5WA3ES010678,COMMERCIAL,STANDARD,45050.0,1601.0,500
102071468,5251.0,COMP,2016-01-12,2016-02-27,2017-02-26,BMW,520 (I),2015.0,WBA5A3103FD748663,PRIVATE,M 2.5,148000.0,3755.0,500
102071654,3202.0,COMP,2016-01-13,2016-01-18,2017-02-17,AUDI,Q 3,2016.0,WA1DFAFSXGR004569,PRIVATE,M 2.5,151000.0,3738.0,500
102072212,9782.0,COMP,2016-01-20,2016-01-20,2017-02-19,NISSAN,TIIDA,2007.0,JN1BC13D67T001248,PRIVATE,STANDARD,13000.0,1090.0,1000
102073217,9500.0,COMP,2016-01-31,2016-01-31,2017-02-27,AUDI,A 5 COUPE,2013.0,WAUACBFR1DA039156,PRIVATE,STANDARD,100000.0,3350.0,500
102073317,887.0,COMP,2016-02-01,2016-02-04,2017-03-03,NISSAN,SENTRA,2016.0,MNTAB7A97G6007306,PRIVATE,M 2.5,57500.0,2020.0,1000
102073405,8045.0,COMP,2016-02-01,2016-02-01,2017-02-28,FORD,FOCUS,2010.0,WF0TD35LXAVT56902,PRIVATE,STANDARD,16000.0,1140.0,2000
102074622,6656.0,COMP,2016-02-15,2016-02-15,2017-03-14,TOYOTA,YARIS,2016.0,MHFBT9F31G6073458,PRIVATE,STANDARD,49500.0,1690.0,1000
102074844,8045.0,COMP,2016-02-16,2016-02-16,2017-03-15,TOYOTA,CAMRY,2007.0,6T1BE42K57X454164,PRIVATE,STANDARD,15000.0,1140.0,1000
102075990,7841.0,COMP,2016-02-29,2016-02-29,2017-03-30,BAJAJ,PULSAR,2014.0,MD2A11CZ2DCG00568,PRIVATE,STANDARD,3520.0,1000.0,2000
